Date,Identifier,Portfolio_manager,Tickers,Type_Description,Quantity,Value
04/01/2021,302,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,303,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,304,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,305,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,306,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,307,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,308,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,309,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,310,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,311,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,312,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,313,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,314,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,315,,CASH:CASH,Interest Reinvested,0,896.88
04/01/2021,316,,CASH:CASH,Interest Reinvested,0,250
04/01/2021,317,,CASH:CASH,Remark,0,-896.88
04/01/2021,318,,CASH:CASH,Remark,0,-250
04/01/2021,319,,CASH:CASH,Remark,0,-896.88
04/01/2021,320,,CASH:CASH,Remark,0,-250
04/01/2021,321,,CASH:CASH,Remark,0,-896.88
04/01/2021,322,,CASH:CASH,Remark,0,-250
04/01/2021,323,,CASH:CASH,Remark,0,-896.88
04/01/2021,324,,CASH:CASH,Remark,0,-250
04/01/2021,325,,CASH:CASH,Remark,0,-896.88
04/01/2021,326,,CASH:CASH,Remark,0,-250
04/01/2021,327,,CASH:CASH,Remark,0,-896.88
04/01/2021,328,,CASH:CASH,Remark,0,-250
04/01/2021,329,,CASH:CASH,Remark,0,-896.88
04/01/2021,330,,CASH:CASH,Remark,0,-250
04/01/2021,331,,CASH:CASH,Remark,0,-896.88
04/01/2021,332,,CASH:CASH,Remark,0,-250
04/01/2021,333,,CASH:CASH,Remark,0,-896.88
04/01/2021,334,,CASH:CASH,Remark,0,-250
04/01/2021,335,,CASH:CASH,Remark,0,-896.88
04/01/2021,336,,CASH:CASH,Remark,0,-250
04/01/2021,337,,CASH:CASH,Remark,0,-896.88
04/01/2021,338,,CASH:CASH,Remark,0,-250
04/01/2021,339,,CASH:CASH,Remark,0,-896.88
04/01/2021,340,,CASH:CASH,Remark,0,-250
04/01/2021,341,,CASH:CASH,Remark,0,-896.88
04/01/2021,342,,CASH:CASH,Remark,0,-250
04/01/2021,344,,ADP,Dividend Reinvested,0,38.13
04/01/2021,345,,WMT,Dividend Reinvested,0,23.76
04/01/2021,346,,BOLAX,Buy,1.925,-75
04/01/2021,347,,IOJAX,Buy,0.774,-25
04/01/2021,348,,IOJAX,Buy,0.774,-25
04/01/2021,349,,BOLAX,Buy,1.925,-75
04/01/2021,350,,AMZN,Buy,0.15,-486.17
04/01/2021,351,,WMT,Dividend Reinvested,0,1.62
04/01/2021,352,,FUBO,Buy,60,-1454.41
04/01/2021,353,,ALAC,Buy,49,-604.66
04/01/2021,354,,ALAC,Buy,31,-381.3
04/01/2021,355,,IPOC,Buy,60,-947.7
04/01/2021,356,,IPOC,Buy,60,-947.7
04/01/2021,357,,IPOC,Remark,-60,947.7
04/01/2021,358,,ALB,Dividend Reinvested,0,2.31
04/01/2021,370,,PLTR,Buy,36,-825.73
04/01/2021,371,,WMT,Dividend Reinvested,0,32.4
04/01/2021,372,,AMZN,Buy,0.155,-499.56
04/01/2021,373,,DFAI,Sell,-2,53.87
04/01/2021,374,,VUG,Contribution,1,-254.46
04/01/2021,375,,VTEB,Contribution,4,-220.76
04/01/2021,376,,VUG,Contribution,1,-254.46
04/01/2021,377,,VTEB,Contribution,4,-220.76
05/01/2021,379,,VT,Buy,0.01,-0.93
05/01/2021,380,,VT,Sell,-0.01,0.92
05/01/2021,381,,SCHM,Dividend Reinvested,0,3.3
05/01/2021,386,,VBR,Buy,14,-1999.06
05/01/2021,391,,CASH:CASH,Interest Reinvested,0,3.5
05/01/2021,395,,FDRXX,Buy,7000,-7000
05/01/2021,397,,CELH210115C00050000,Buy,3000,-18320.57
05/01/2021,398,,CELH210219C00055000,Sell,-3000,20078.98
05/01/2021,400,,NHX202491,Buy,0.829,-18
05/01/2021,401,,SCHM,Dividend Reinvested,0,3.3
05/01/2021,404,,AMZN,Buy,0.0062,-19.89
05/01/2021,405,,BRKB,Buy,0.0883,-20.12
05/01/2021,406,,DIS,Buy,0.1127,-20.12
05/01/2021,407,,JNJ,Buy,0.1271,-20.12
05/01/2021,408,,T,Buy,0.6863,-20.13
05/01/2021,409,,VZ,Buy,0.3429,-20.13
05/01/2021,410,,WMT,Buy,0.1381,-20.13
05/01/2021,411,,WMT,Dividend Reinvested,0.0019,-0.27
05/01/2021,412,,AMAT,Buy,0.2259,-20.13
05/01/2021,413,,MRK,Buy,0.2482,-20.13
05/01/2021,414,,GS,Buy,0.0739,-20.11
05/01/2021,415,,GLW,Buy,0.5624,-20.13
05/01/2021,416,,RTX,Buy,0.2894,-20.13
05/01/2021,417,,WM,Buy,0.1748,-20.13
05/01/2021,418,,AAPL,Buy,0.1537,-20.13
05/01/2021,419,,EA,Buy,0.1427,-20.12
05/01/2021,420,,TTWO,Buy,0.0985,-20.11
05/01/2021,421,,AXP,Buy,0.1693,-20.12
05/01/2021,422,,SPGI,Buy,0.0612,-20.1
05/01/2021,423,,BSX,Buy,0.5545,-20.13
05/01/2021,424,,ATVI,Buy,0.2236,-20.22
05/01/2021,425,,YUM,Buy,0.1902,-20.13
05/01/2021,426,,MOS,Buy,0.8229,-20.13
05/01/2021,427,,CRM,Buy,0.0908,-20.12
05/01/2021,428,,MA,Buy,0.0579,-20.12
05/01/2021,429,,MSCI,Buy,0.0468,-20.11
05/01/2021,430,,V,Buy,0.0937,-20.12
05/01/2021,431,,GOOG,Buy,0.0115,-19.97
05/01/2021,432,,DD,Buy,0.2732,-20.13
05/01/2021,433,,DOW,Buy,0.361,-20.13
05/01/2021,434,,CARR,Buy,0.5314,-20.13
05/01/2021,435,,BKSE,Dividend Reinvested,0,2.05
05/01/2021,436,,BKEM,Dividend Reinvested,0,2.13
05/01/2021,437,,SWTSX,Buy,1.514,-100
05/01/2021,438,,SWSSX,Buy,2.926,-100
05/01/2021,439,,SWISX,Buy,4.494,-100
05/01/2021,440,,SCHH,Dividend Reinvested,0,0.14
05/01/2021,443,,WMT,Dividend Reinvested,3.00E-04,-0.04
05/01/2021,444,,FNDA,Dividend Reinvested,0,1.25
05/01/2021,445,,BKMC,Dividend Reinvested,0,0.2
05/01/2021,446,,BKSE,Dividend Reinvested,0,3.19
05/01/2021,447,,BKEM,Dividend Reinvested,0,3.19
05/01/2021,448,,BKLC,Dividend Reinvested,0,1.61
05/01/2021,449,,WMT,Dividend Reinvested,0.003,-0.44
05/01/2021,450,,FSK,Dividend Reinvested,0,16.18
